name,location
Artorias,Oolacile Township
Asylum Demon,Undead Asylum
Bed of Chaos,Lost Izalith
Bell Gargoyles,Undead Parish
Capra Demon,Undead Burg
Ceaseless Discharge,Demon Ruins
Centipede Demon,Demon Ruins
Demon Firesage,Demon Ruins
Four Kings,Abyss
Gaping Dragon,Depths
Gwyn,Kiln of the First Flame
Gwyndolin,Anor Londo
Iron Golem,Sen's Fortress
Kalameet,Royal Wood
Manus,Chasm of the Abyss
Moonlight Butterfly,Darkroot Garden
Nito,Tomb of the Giants
Ornstein,Anor Londo
Pinwheel,The Catacombs
Priscilla,Painted World of Ariamis
Quelaag,Quelaag's Domain
Sanctuary Guardian,Sanctuary Garden
Seath,The Duke's Archives
Seath,Crystal Cave
Sif,Darkroot Garden
Smough,Anor Londo
Stray Demon,Northern Undead Asylum
Taurus Demon,Undead Burg
