give,receive,number
Bloodred Moss Clump,Twinkling Titanite,1
Purple Moss Clump,Twinkling Titanite,1
Blooming Purple Moss Clump,Twinkling Titanite,2
Cracked Red Eye Orb,Purging Stone,2
Rubbish,Titanite Chunk,1
Dung Pie,Demon Titanite,1
Egg Vermifuge,Dragon Scale,1
Humanity,Ring of Sacrifice,1
Twin Humanities,Rare Ring of Sacrifice,1
Pendant,Souvenir of Reprisal,1
Prism Stone,Demon Titanite,1
Pyromancy Flame,Red Titanite Slab,1
Ascended Pyromancy Flame,Red Titanite Chunk,1
Ring of the Sun Princess,Divine Blessing,2
Sack,Demon's Great Hammer,1
Skull Lantern,Ring of Fog,1
Soul of Manus,Pursuers,1
Sunlight Maggot,Old Witch's Ring,1
Sunlight Medal,White Titanite Chunk,1
Xanthous Crown,Ring of Favor and Protection,1
