name,location
Abyss Attack Dog,Royal Wood
Alvina,Darkroot Garden
Anastacia,Firelink Shrine
Andre,Undead Parish
Artorias,Oolacile Township
Asylum Demon,Undead Asylum
Attack Dog,Depths
Attack Dog,Undead Burg
Baby Skeleton,Tomb of the Giants
Balder Knight,Sen's Fortress
Balder Knight,Undead Parish
Banshee,New Londo Ruins
Basilisk,Ash Lake
Basilisk,Depths
Basilisk,The Great Hollow
Batwing Demon,Anor Londo
Bed of Chaos,Lost Izalith
Bell Gargoyles,Anor Londo
Bell Gargoyles,Undead Parish
Berenike Knight,Painted World of Ariamis
Berenike Knight,Sen's Fortress
Berenike Knight,Undead Parish
Black Dragon Kalameet,Royal Wood
Black Knight,Darkroot Basin
Black Knight,Kiln of the First Flame
Black Knight,The Catacombs
Black Knight,Tomb of the Giants
Black Knight,Undead Asylum
Black Knight,Undead Burg
Black Knight,Undead Parish
Bloathead Sorcerer,Chasm of the Abyss
Bloathead Sorcerer,Oolacile Township
Bloathead,Chasm of the Abyss
Bloathead,Oolacile Township
Bloathead,Oolacile Township Dungeon
Blowdart Sniper,Blighttown
Blue Drake,The Valley of Drakes
Bone Tower,Tomb of the Giants
Bonewheel Skeleton,Painted World of Ariamis
Bonewheel Skeleton,The Catacombs
Bounding Demon of Izalith,Lost Izalith
Bounding Demon of Izalith,Painted World of Ariamis
Burrowing Rockworm,Demon Ruins
Butcher,Depths
Capra Demon,Demon Ruins
Capra Demon,Undead Burg
Ceaseless Discharge,Demon Ruins
Centipede Demon,Demon Ruins
Chained Prisoner,Oolacile Township
Channeler,Depths
Channeler,The Duke's Archives
Channeler,Undead Parish
Chaos Bug,Demon Ruins
Chaos Bug,Demon Ruins
Chaos Bug,Lost Izalith
Chaos Bug,Lost Izalith
Chaos Eater,Lost Izalith
Chester,Royal Wood
Chester,Oolacile Township
Ciaran,Oolacile Township
Cragspider,Blighttown
Crestfallen Merchant,Sen's Fortress
Crestfallen Warrior,Firelink Shrine
Crestfallen Warrior,New Londo Ruins
Crow Demon,Painted World of Ariamis
Crystal Golem,Crystal Cave
Crystal Golem,Darkroot Basin
Crystal Golem,The Duke's Archives
Crystal Knight,The Duke's Archives
Crystal Lizard,Undead Burg
Crystal Lizard,Darkroot Basin
Crystal Lizard,The Catacombs
Crystal Lizard,Tomb of the Giants
Crystal Lizard,Lost Izalith
Crystal Lizard,The Duke's Archives
Crystal Lizard,Crystal Cave
Crystal Lizard,The Great Hollow
Crystal Lizard,Royal Wood
Crystal Lizard,Oolacile Township
Crystal Lizard,Chasm of the Abyss
Darkwraith,New Londo Ruins
Darkmoon Knightess,Anor Londo
Daughter of Chaos,Lost Izalith
Demon Firesage,Demon Ruins
Demonic Foliage,Darkroot Garden
Demonic Statue,Demon Ruins
Demonic Statue,Lost Izalith
Domhnall,Depths
Domhnall,Firelink Shrine
Dusk,Darkroot Basin
Dragon Slayer Ornstein and Executioner Smough,Anor Londo
Egg Burdened,Demon Ruins
Egg Burdened,Quelaag's Domain
Eingyi,Quelaag's Domain
Elizabeth,Oolacile Sanctuary
Engorged Hollow,Painted World of Ariamis
Fang Boar,The Duke's Archives
Fang Boar,Undead Parish
Flaming Attack Dog,Blighttown
Forest Hunter Archer,Darkroot Garden
Forest Hunter Bandit,Darkroot Garden
Forest Hunter Cleric,Darkroot Garden
Forest Hunter Knight,Darkroot Garden
Forest Hunter Sorcerer,Darkroot Garden
Forest Hunter Thief,Darkroot Garden
Four Kings,The Abyss
Frampt,Firelink Shrine
Frog-Ray,Darkroot Garden
Gaping Dragon,Depths
Ghost,New Londo Ruins
Giant Blacksmith,Anor Londo
Giant Clam,Ash Lake
Giant Clam,Crystal Cave
Giant Crow,Undead Asylum
Giant Crow,Firelink Shrine
Giant Leech,Blighttown
Giant Mosquito,Blighttown
Giant Skeleton,Firelink Shrine
Giant Skeleton,The Catacombs
Giant Skeleton,Tomb of the Giants
Giant Undead Rat,Depths
Giant,Sen's Fortress
Golden Crystal Golem,Crystal Cave
Golden Crystal Golem,Darkroot Basin
Golden Crystal Golem,The Duke's Archives
Gough,Oolacile Township
Great Feline,Darkroot Garden
Griggs,Undead Parish
Griggs,Firelink Shrine
Griggs,Sen's Fortress
