armor,set
Brigand Hood,Brigand
Brigand Armor,Brigand
Brigand Gauntlets,Brigand
Brigand Trousers,Brigand
Priest's Hat,Holy
Holy Robe,Holy
Traveling Gloves,Holy
Holy Trousers,Holy
Pharis's Hat,Leather
Leather Armor,Leather
Leather Gloves,Leather
Leather Boots,Leather
Knight Helm,Knight
Knight Armor,Knight
Knight Gauntlets,Knight
Knight Leggings,Knight
Tattered Cloth Hood,Tattered Cloth
Tattered Cloth Robe,Tattered Cloth
Tattered Cloth Manchette,Tattered Cloth
Heavy Boots,Tattered Cloth
Sorcerer Hat,Sorcerer
Sorcerer Cloak,Sorcerer
Sorcerer Gauntlets,Sorcerer
Sorcerer Boots,Sorcerer
Thief Mask,Black Leather
Black Leather Armor,Black Leather
Black Leather Gloves,Black Leather
Black Leather Boots,Black Leather
Wanderer Hood,Wanderer
Wanderer Coat,Wanderer
Wanderer Manchette,Wanderer
Wanderer Boots,Wanderer
Standard Helm,Hard Leather
Hard Leather Armor,Hard Leather
Hard Leather Gauntlets,Hard Leather
Hard Leather Boots,Hard Leather
Crown of Dusk,Antiquated
Antiquated Dress,Antiquated
Antiquated Gloves,Antiquated
Antiquated Skirt,Antiquated
Big Hat,Big Hat's
Sage Robe,Big Hat's
Traveling Gloves,Big Hat's
Traveling Boots,Big Hat's
Mask of Velka,Black
Black Cleric Robe,Black
Black Manchette,Black
Black Tights,Black
Black Sorcerer Hat,Black Sorcerer
Black Sorcerer Cloak,Black Sorcerer
Black Sorcerer Gauntlets,Black Sorcerer
Black Sorcerer Boots,Black Sorcerer
Chain Helm,Chain
Chain Armor,Chain
Leather Gauntlets,Chain
Chain Leggings,Chain
Snickering Top Hat,Chester's
Chester's Long Coat,Chester's
Chester's Gloves,Chester's
Chester's Trousers,Chester's
Mask of the Sealer,Crimson
Crimson Robe,Crimson
Crimson Gloves,Crimson
Crimson Waistcloth,Crimson
Dingy Hood,Dingy
Dingy Robe,Dingy
Dingy Gloves,Dingy
Blood-Stained Skirt,Dingy
Gold-Hemmed Black Hood,Gold-Hemmed Black
Gold-Hemmed Black Cloak,Gold-Hemmed Black
Gold-Hemmed Black Gloves,Gold-Hemmed Black
Gold-Hemmed Black Skirt,Gold-Hemmed Black
Crown of the Great Lord,Great Lord
Robe of the Great Lord,Great Lord
Bracelet of the Great Lord,Great Lord
Anklet of the Great Lord,Great Lord
Hollow Soldier Helm,Hollow Soldier
Hollow Soldier Armor,Hollow Soldier
Hollow Soldier Waistcloth,Hollow Soldier
Hollow Thief's Hood,Hollow Thief's
Hollow Thief's Leather Armor,Hollow Thief's
Hollow Thief's Tights,Hollow Thief's
Hollow Warrior Helm,Hollow Warrior
Hollow Warrior Armor,Hollow Warrior
Hollow Warrior Waistcloth,Hollow Warrior
Porcelain Mask,Lord's Blade
Lord's Blade Robe,Lord's Blade
Lord's Blade Gloves,Lord's Blade
Lord's Blade Waistcloth,Lord's Blade
Maiden Hood,Maiden
Maiden Robe,Maiden
Maiden Gloves,Maiden
Maiden Skirt,Maiden
Crown of the Dark Sun,Moonlight
Moonlight Robe,Moonlight
Moonlight Gloves,Moonlight
Moonlight Waistcloth,Moonlight
Painting Guardian Hood,Painting Guardian
Painting Guardian Robe,Painting Guardian
Painting Guardian Gloves,Painting Guardian
Painting Guardian Waistcloth,Painting Guardian
Shadow Mask,Shadow
Shadow Garb,Shadow
Shadow Gauntlets,Shadow
Shadow Leggings,Shadow
Witch Hat,Witch
Witch Cloak,Witch
Witch Gloves,Witch
Witch Skirt,Witch
Xanthous Crown,Xanthous
Xanthous Overcoat,Xanthous
Xanthous Gloves,Xanthous
Xanthous Waistcloth,Xanthous
Helm of the Wise,Adventurer's
Armor of the Glorious,Adventurer's
Gauntlets of the Vanquisher,Adventurer's
Boots of the Explorer,Adventurer's
Helm of Artorias,Set of Artorias
Armor of Artorias,Set of Artorias
Gauntlets of Artorias,Set of Artorias
Leggings of Artorias,Set of Artorias
Balder Helm,Balder
Balder Armor,Balder
Balder Gauntlets,Balder
Balder Leggings,Balder
Black Knight Helm,Black Knight
Black Knight Armor,Black Knight
Black Knight Gauntlets,Black Knight
Black Knight Leggings,Black Knight
Brass Helm,Brass
Brass Armor,Brass
Brass Gauntlets,Brass
Brass Leggings,Brass
Catarina Helm,Catarina
Catarina Armor,Catarina
Catarina Gauntlets,Catarina
Catarina Leggings,Catarina
Six-Eyed Helm of the Channelers,Channeler's
Robe of the Channelers,Channeler's
Gauntlets of the Channelers,Channeler's
Waistcloth of the Channelers,Channeler's
Cleric Helm,Cleric
Cleric Armor,Cleric
Cleric Gauntlets,Cleric
Cleric Leggings,Cleric
Crystalline Helm,Crystalline
Crystalline Armor,Crystalline
Crystalline Gauntlets,Crystalline
Crystalline Leggings,Crystalline
Dark Mask,Dark
Dark Armor,Dark
Dark Gauntlets,Dark
Dark Leggings,Dark
