person,condition,exchange
Alvina,Introduction,"Is it not so that thou art new? Thou fared well to find me. But cometh thee not for the grave of Sir Artorias? My advice true, forget this! The legend of Artorias art none but a fabrication. ...Traversing the dark? 'Tis but a fairy tale. Have thine own respect, go not yonder knocking for nothing, I say!"
Alvina,"Answering ""Yes""","Well indeed, thou art a strange one! Nevertheless, I feel some liking for thee. I'm Alvina of the Darkroot Wood. I command a clan of hunters who track down defilers of the forest graves. What dost thou say? Wilt thou not join us? Oh yes, I believe we would suit thee well."
Alvina,"Answering ""No""","Hmm, I see. A result most heathenish and gross. Then there is nothing more to say about this tedious reckoning. Be gone from here. Pernicious caitiff."
Alvina,"Answering ""Yes"" to joining covenant""","I am very glad! And now thou art one of us! Let us establish a Covenant. And here, taketh this ring. If thou weareth that ring, it allows for thine summoning. If mine senses reveal intruders, then I will summon thee. Fend them off sir, I beseech only this. I shall summon others, who will by their honour work tirelessly with thee. Thou shalt receive great reward, and whatsoever ye shall pillage will be thine own. A true agreement, not so? But thou must heed the golden rule... The clan is thine own family. To thine kinsmen forever stay true. Dare'st not in any attempt to double-cross. Have no doubt, such wretchedness, never will we tolerate."
Alvina,"Answering ""No"" to joining covenant","Oh, I see. 'Tis a pity indeed. But this is thine stubborn choice alone. I cannot enforce it upon thee. If thine mind should be alter'd, forsooth speak to me once more."
Alvina,Randomly speaking with Alvina,"Ah, thou dost cometh. How fares ye? My hopes for thee are of the highest. Do not such a hope shatter with foul disproportion."
Alvina,Speaking with Alvina after killing an intruder,"Ah, thou dost cometh. My hopes for thee are of the highest. Do not such a hope shatter with foul disproportion. Ah yes, here is thine reward. It is for thee, take it. Make no attempt to show thineself as Hollow!"
Alvina,Speaking with Alvina after killing 3 intruders,"Oh, thou art present! I have heard murmuring about thee. I like that which I hear! I felt of thou indeed as a special one! The very moment mine eyes first set upon thee. Here's a precious reward. It is for thee, take it. May thine skill earn thee many more!"
Alvina,Alvina speaking of her distrust of Shiva,"Perchance... Hast thou met Shiva? A lad cometh from the far East, strong of arm; now a clan leader of ours. ...And yet.. Still I feel that boy hides something. Of that I am certain. Small fear that he will use us badly... Yet on guard we must stay. And that man that clingeth to Shiva like some shadow...ensure thou dost treat him with the same caution."
Alvina,Betraying the covenant,"Oh, it is thee... Thine kinsmen are betrayed by thee. This doth bode most badly. No rest will ease thy rotten soul whilst there is one clansman living... Forever tormented thou shalt be by our very howls... Hellish villain, thou hast used us most foully, thine own family... For thee, no mercy shall be shown."
