name,description
Chaos Flame Ember,Ember required for weapon ascension. Chaos Flame Ember is an art of the lost city of Izalith. Handled only by blacksmiths knowledgeable in ancient methods.|Ascends +5 fire weapon to chaos weapon. (chaos weapon can be reinforced to +5)|Chaos weapons are demon weapons augmented by humanity which inflict fire damage.
Crystal Ember,"Ember required for weapon ascension. Crystal ember created by Seath the Scaleless. Handled only by the giant God's blacksmiths.|Ascends +10 standard wpn to crystal weapon. (crystal weapons can be reinforced to +5)|Crystal weapons are powerful but brittle, and cannot be repaired once broken."
Dark Ember,"Ember required for weapon ascension. The church long hid the forbidden black ember, and no living blacksmith knows of it.|Ascends +5 divine weapon to occult weapon. (occult weapons can be reinforced to +5)|Occult weapons were used to hunt the gods, and are effective against their following and kin."
Divine Ember,"Ember required for weapon ascension. Divine embers are property of the church, and intended for divine blacksmiths.|Ascends +5 standard wpn to divine weapon. (divine weapon can be reinforced to +5)|Divine weapons are for Undead hunting. Use against Undead and the pawns of necromancers."
Enchanted Ember,"Ember required for weapon ascension. This enchanted ember, a form of sorcery, is a vestige of the lost land of Oolacile.|Ascends +5 magic wpn to enchanted weapon (enchanted weapon can be magic reinforced to +5).|The sorcerer's enchanted weapon that inflicts magic damage and is boosted by intelligence."
Large Divine Ember,"Ember required for weapon ascension. Large divine ember, of secret church rites. Intended for select divine blacksmiths.|Ascends +5 divine weapon. Allows reinforcement to +10, on par with the very weapons of the Gods."
Large Ember,"Ember required for weapon ascension. A large, high-quality ember. Handled by the blacksmith of Astora.|Ascension for +5 standard weapon. Allows reinforcement to +10.|Also, can ascend +5 std wpn to raw wpn. (raw weapon can be reinforced to +5)"
Large Flame Ember,"Ember required for weapon ascension. Large flame ember used in ancient rites. Handled only by blacksmiths knowledgeable in ancient methods.|Ascends +5 fire weapon. Allows reinforcement to +10, the most powerful level for fire weapons."
Large Magic Ember,"Ember required for weapon ascension. Large magic ember, a form of sorcery. handled only by the Vinheim blacksmiths.|Ascends +5 magic weapons. Allows reinforcement to +10, the most powerful level for magic weapons."
Very Large Ember,"Ember required for weapon ascension. Huge ember of highest quality. Handled by the blacksmiths of Astora.|Ascension for +10 standard weapon. Allows reinforcement to +15, on par with the greatest weapons of legend."
