name,description
Affidavit,"Slip sold by bishop of Velka, Goddess of Sin.|Annul a covenant without committing sin. A covenant is a most sacred union, normally not subject to negotiation, but when circumstances require it, even Goddess Velka will make an exception."
Alluring Skull,"A skull with meekly lingering souls. Throw to shatter and spread souls to attract certain types of enemies.|Souls are a concentration of life, and the life-starved Hollows are lured by its power. Not effective for all enemies."
Binoculars,"Binoculars made of brass. Use to peer at distant scenery.|This advanced device was built by a famous craftsman of Astora. Its utility is singular, but its applications many.|The value of these specs depends greatly on the imagination of their owner."
Black Eye Orb,"Mystical orb found on a Keeper's corpse. Invade the world of the murderer of a Fire Keeper, to defeat the perpetrator and reclaim the soul of the Fire Keeper.|The Black Eye keeps constant watch on the city of the Gods, Anor Londo."
Black Firebomb,"Black bisque urn filled with black powder. Explodes, inflicting fire damage.|Powerful ranged weapon, especially in situations called for fire damage. A very precious item at low levels.|Black Firebombs are especially destructive."
Black Separation Crystal,"This black crystal, long a symbol of farewell, is granted to  banished Undead. The crystal sends phantoms back to their homes, or sends you back to yours.|Beware of fickle use of the item if you intend to nurture relations."
Bloodred Moss Clump,"Medicinal red moss clump. Reduces bleeding build-up.|Bleeding builds up when attacked by sharp blades or spikes, and once triggered causes severe damage. Use this moss clump before it reaches this point."
Blooming Purple Moss Clump,"Potently medicinal moss clump with a flower. Reduces poison and toxin. Restores status.|Toxin is a more vicious form of poison which quickly leads to death.|Moss clumps without a flower are useless against toxin, and a lack of these moss clumps could lead to an early demise."
Blue Eye Orb,"Online play item. Invade world of player in Book of the Guilty. Subdue player to acquire Souvenir of Reprisal. (Only Covenanter can use the item)|These mystical orbs are granted to Blades of the Darkmoon, knights who serve the Dark Sun Gwyndolin, so that they may serve the Gods in meting out vengeance."
Book of the Guilty,"Online play item. Check list of indicted players.|The Goddess of Sin Velka oversees this list of the guilty, who have disrespected the Gods or their covenants, and shall one day face the wrath of the Blades of the Darkmoon."
Hello Carving,"Head carved of archtrees by Gough in his imprisonment. Gough imparts an emotion to each and every completed carving, which helps him achieve personal enlightenment. When a head is disturbed, it speaks, reflecting the emotion conferred to it.|This head says ""Hello"". Have another look. Do you sense the amicability in its eyes?"
Help Me! Carving,"Head carved of archtrees by Gough in his imprisonment. Gough imparts an emotion to each and every completed carving, which helps him achieve personal enlightenment. When a head is disturbed, it speaks, reflecting the emotion conferred to it.|This head says ""Help me!"". Look again. Can you hear the desperate plea?"
I'm Sorry Carving,"Head carved of archtrees by Gough in his imprisonment. Gough imparts an emotion to each and every completed carving, which helps him achieve personal enlightenment. When a head is disturbed, it speaks, reflecting the emotion conferred to it.|This head says ""I'm Sorry"". Have another look. Isn't that an expression of atonement?"
Thank You Carving,"Head carved of archtrees by Gough in his imprisonment. Gough imparts an emotion to each and every completed carving, which helps him achieve personal enlightenment. When a head is disturbed, it speaks, reflecting the emotion conferred to it.|This head says ""Thank you"". Have another look. Is this not the face of gratitude?"
