name,path,level,physical,magic,fire,lightning,strength,dexterity,intelligence,faith,physical_reduction,magic_reduction,fire_reduction,lightning_reduction
Buckler,Standard,0,55,0,0,0,D,0,0,0,76,32,65,53
Buckler,Standard,1,57,0,0,0,D,0,0,0,76,32,65,53
Buckler,Standard,2,60,0,0,0,D,0,0,0,76,32,65,53
Buckler,Standard,3,63,0,0,0,D,0,0,0,76,32,65,53
Buckler,Standard,4,66,0,0,0,D,0,0,0,76,32,65,53
Buckler,Standard,5,68,0,0,0,D,0,0,0,76,32,65,53
Buckler,Standard,6,72,0,0,0,D,0,0,0,76,32,65,53
Buckler,Standard,7,75,0,0,0,D,0,0,0,76,32,65,53
Buckler,Standard,8,78,0,0,0,D,0,0,0,76,32,65,53
Buckler,Standard,9,81,0,0,0,D,0,0,0,76,32,65,53
Buckler,Standard,10,85,0,0,0,D,0,0,0,76,32,65,53
Buckler,Standard,11,89,0,0,0,D,0,0,0,76,32,65,53
Buckler,Standard,12,92,0,0,0,D,0,0,0,76,32,65,53
Buckler,Standard,13,96,0,0,0,D,0,0,0,76,32,65,53
Buckler,Standard,14,100,0,0,0,D,0,0,0,76,32,65,53
Buckler,Standard,15,110,0,0,0,D,0,0,0,76,32,65,53
Buckler,Crystal,0,85,0,0,0,D,0,0,0,76,32,65,53
Buckler,Crystal,1,89,0,0,0,D,0,0,0,76,32,65,53
Buckler,Crystal,2,92,0,0,0,D,0,0,0,76,32,65,53
Buckler,Crystal,3,96,0,0,0,D,0,0,0,76,32,65,53
Buckler,Crystal,4,100,0,0,0,D,0,0,0,76,32,65,53
Buckler,Crystal,5,110,0,0,0,D,0,0,0,76,32,65,53
Buckler,Magic,0,51,56,0,0,E,0,D,0,76,32.0,65,53
Buckler,Magic,1,53,58,0,0,E,0,D,0,76,32.6,65,53
Buckler,Magic,2,56,61,0,0,E,0,D,0,76,33.3,65,53
Buckler,Magic,3,58,64,0,0,E,0,D,0,76,33.9,65,53
Buckler,Magic,4,61,67,0,0,E,0,D,0,76,34.6,65,53
Buckler,Magic,5,63,69,0,0,E,0,D,0,76,35.2,65,53
Buckler,Magic,6,66,72,0,0,E,0,D,0,76,35.8,65,53
Buckler,Magic,7,69,76,0,0,E,0,D,0,76,36.5,65,53
Buckler,Magic,8,72,79,0,0,E,0,D,0,76,37.1,65,53
Buckler,Magic,9,75,82,0,0,E,0,D,0,76,37.8,65,53
Buckler,Magic,10,82,90,0,0,E,0,D,0,76,38.4,65,53
Buckler,Divine,0,46,56,0,0,E,0,0,D,76,32,65,53
Buckler,Divine,1,48,58,0,0,E,0,0,D,76,32,65,53
Buckler,Divine,2,50,61,0,0,E,0,0,D,76,32,65,53
Buckler,Divine,3,52,64,0,0,E,0,0,D,76,32,65,53
Buckler,Divine,4,55,67,0,0,E,0,0,D,76,32,65,53
Buckler,Divine,5,57,69,0,0,E,0,0,D,76,32,65,53
Buckler,Divine,6,59,72,0,0,E,0,0,D,76,32,65,53
Buckler,Divine,7,62,76,0,0,E,0,0,D,76,32,65,53
Buckler,Divine,8,65,79,0,0,E,0,0,D,76,32,65,53
Buckler,Divine,9,67,82,0,0,E,0,0,D,76,32,65,53
Buckler,Divine,10,74,90,0,0,E,0,0,D,76,32,65,53
Buckler,Fire,0,55,0,55,0,0,0,0,0,76,32,65.0,53
Buckler,Fire,1,57,0,57,0,0,0,0,0,76,32,66.3,53
Buckler,Fire,2,59,0,59,0,0,0,0,0,76,32,67.6,53
Buckler,Fire,3,61,0,61,0,0,0,0,0,76,32,68.9,53
Buckler,Fire,4,63,0,63,0,0,0,0,0,76,32,70.2,53
Buckler,Fire,5,66,0,66,0,0,0,0,0,76,32,71.5,53
Buckler,Fire,6,69,0,69,0,0,0,0,0,76,32,72.8,53
Buckler,Fire,7,73,0,73,0,0,0,0,0,76,32,74.1,53
Buckler,Fire,8,77,0,77,0,0,0,0,0,76,32,75.4,53
Buckler,Fire,9,81,0,81,0,0,0,0,0,76,32,76.7,53
Buckler,Fire,10,85,0,85,0,0,0,0,0,76,32,78.0,53
Buckler,Lightning,0,66,0,0,66,0,0,0,0,76,32,65,59.4
Buckler,Lightning,1,70,0,0,70,0,0,0,0,76,32,65,60.4
Buckler,Lightning,2,74,0,0,74,0,0,0,0,76,32,65,61.0
Buckler,Lightning,3,79,0,0,79,0,0,0,0,76,32,65,61.5
Buckler,Lightning,4,83,0,0,83,0,0,0,0,76,32,65,62.5
Buckler,Lightning,5,88,0,0,88,0,0,0,0,76,32,65,63.6
Caduceus Round Shield,Standard,0,50,0,0,0,D,0,0,0,85,65,30,65
Caduceus Round Shield,Standard,1,52,0,0,0,D,0,0,0,85,65,30,65
Caduceus Round Shield,Standard,2,55,0,0,0,D,0,0,0,85,65,30,65
Caduceus Round Shield,Standard,3,57,0,0,0,D,0,0,0,85,65,30,65
Caduceus Round Shield,Standard,4,60,0,0,0,D,0,0,0,85,65,30,65
Caduceus Round Shield,Standard,5,62,0,0,0,D,0,0,0,85,65,30,65
Caduceus Round Shield,Standard,6,65,0,0,0,D,0,0,0,85,65,30,65
Caduceus Round Shield,Standard,7,68,0,0,0,D,0,0,0,85,65,30,65
Caduceus Round Shield,Standard,8,71,0,0,0,D,0,0,0,85,65,30,65
Caduceus Round Shield,Standard,9,74,0,0,0,D,0,0,0,85,65,30,65
Caduceus Round Shield,Standard,10,77,0,0,0,D,0,0,0,85,65,30,65
Caduceus Round Shield,Standard,11,81,0,0,0,D,0,0,0,85,65,30,65
Caduceus Round Shield,Standard,12,84,0,0,0,D,0,0,0,85,65,30,65
Caduceus Round Shield,Standard,13,88,0,0,0,D,0,0,0,85,65,30,65
Caduceus Round Shield,Standard,14,91,0,0,0,D,0,0,0,85,65,30,65
Caduceus Round Shield,Standard,15,100,0,0,0,D,0,0,0,85,65,30,65
Caduceus Round Shield,Crystal,0,77,0,0,0,D,0,0,0,85,65,30,65
Caduceus Round Shield,Crystal,1,81,0,0,0,D,0,0,0,85,65,30,65
Caduceus Round Shield,Crystal,2,84,0,0,0,D,0,0,0,85,65,30,65
Caduceus Round Shield,Crystal,3,88,0,0,0,D,0,0,0,85,65,30,65
Caduceus Round Shield,Crystal,4,91,0,0,0,D,0,0,0,85,65,30,65
Caduceus Round Shield,Crystal,5,100,0,0,0,D,0,0,0,85,65,30,65
Caduceus Round Shield,Magic,0,47,51,0,0,E,0,D,0,85,65,30,65
Caduceus Round Shield,Magic,1,49,53,0,0,E,0,D,0,85,66.9,30,65
Caduceus Round Shield,Magic,2,52,56,0,0,E,0,D,0,85,68.9,30,65
Caduceus Round Shield,Magic,3,54,58,0,0,E,0,D,0,85,70.9,30,65
Caduceus Round Shield,Magic,4,56,61,0,0,E,0,D,0,85,72.8,30,65
Caduceus Round Shield,Magic,5,58,63,0,0,E,0,D,0,85,74.7,30,65
Caduceus Round Shield,Magic,6,61,66,0,0,E,0,D,0,85,76.7,30,65
Caduceus Round Shield,Magic,7,64,69,0,0,E,0,D,0,85,78.7,30,65
Caduceus Round Shield,Magic,8,66,72,0,0,E,0,D,0,85,80.6,30,65
Caduceus Round Shield,Magic,9,69,75,0,0,E,0,D,0,85,82.5,30,65
Caduceus Round Shield,Magic,10,76,82,0,0,E,0,D,0,85,84.5,30,65
Caduceus Round Shield,Divine,0,42,51,0,0,E,0,0,D,85,65,30,65
Caduceus Round Shield,Divine,1,44,53,0,0,E,0,0,D,85,65,30,65
Caduceus Round Shield,Divine,2,46,56,0,0,E,0,0,D,85,65,30,65
Caduceus Round Shield,Divine,3,48,58,0,0,E,0,0,D,85,65,30,65
Caduceus Round Shield,Divine,4,50,61,0,0,E,0,0,D,85,65,30,65
Caduceus Round Shield,Divine,5,52,63,0,0,E,0,0,D,85,65,30,65
Caduceus Round Shield,Divine,6,55,66,0,0,E,0,0,D,85,65,30,65
Caduceus Round Shield,Divine,7,57,69,0,0,E,0,0,D,85,65,30,65
Caduceus Round Shield,Divine,8,59,72,0,0,E,0,0,D,85,65,30,65
Caduceus Round Shield,Divine,9,62,75,0,0,E,0,0,D,85,65,30,65
Caduceus Round Shield,Divine,10,68,82,0,0,E,0,0,D,85,65,30,65
Caduceus Round Shield,Fire,0,50,0,50,0,0,0,0,0,85,65,30,65
Caduceus Round Shield,Fire,1,52,0,52,0,0,0,0,0,85,65,30.9,65
Caduceus Round Shield,Fire,2,54,0,54,0,0,0,0,0,85,65,31.8,65
Caduceus Round Shield,Fire,3,56,0,56,0,0,0,0,0,85,65,32.7,65
Caduceus Round Shield,Fire,4,58,0,58,0,0,0,0,0,85,65,33.6,65
Caduceus Round Shield,Fire,5,60,0,60,0,0,0,0,0,85,65,34.5,65
Caduceus Round Shield,Fire,6,63,0,63,0,0,0,0,0,85,65,35.4,65
Caduceus Round Shield,Fire,7,67,0,67,0,0,0,0,0,85,65,36.3,65
Caduceus Round Shield,Fire,8,70,0,70,0,0,0,0,0,85,65,37.2,65
Caduceus Round Shield,Fire,9,74,0,74,0,0,0,0,0,85,65,38.1,65
Caduceus Round Shield,Fire,10,77,0,77,0,0,0,0,0,85,65,39,65
Caduceus Round Shield,Lightning,0,60,0,0,60,0,0,0,0,85,65,30,72.8
Caduceus Round Shield,Lightning,1,64,0,0,64,0,0,0,0,85,65,30,74.1
Caduceus Round Shield,Lightning,2,68,0,0,68,0,0,0,0,85,65,30,74.7
Caduceus Round Shield,Lightning,3,72,0,0,72,0,0,0,0,85,65,30,75.4
Caduceus Round Shield,Lightning,4,76,0,0,76,0,0,0,0,85,65,30,76.7
Caduceus Round Shield,Lightning,5,80,0,0,80,0,0,0,0,85,65,30,78
Cracked Round Shield,Standard,0,46,0,0,0,D,0,0,0,65,55,10,45
Cracked Round Shield,Standard,1,48,0,0,0,D,0,0,0,65,55,10,45
