name,school,description,intelligence,faith,slots,uses
Acid Surge,Pyromancy,"Pyromancy foreign to the Great Swamp. Emit acid which corrodes weapons and armor.|Not all pyromancy originates in the Great Swamp. One hears rumors of unknown pyromancers inhabiting various lands, and this spell is the work of one such outlander.",0,0,1,2
Aural Decoy,Sorcery,"Sorcery used by playful sorcerers. Lure enemies away by creating a sound originating in the distance.|This spell is not the first choice for serious sorcerers, but it has a surprising amount of applications, some of them extremely effective.",10,0,1,20
Black Flame (Dark Souls),Pyromancy,"A pyromancy discovered from the Dark of the Abyss by a pyromancer who wandered Oolacile. Conjure a great black flame in one's palm.|Black flames are weighty, and inflict physical damage, enough to smack away the mightiest of the shields.",0,0,1,8
Bountiful Sunlight,Miracle,"Special miracle granted to the maidensof Gwynevere, Princess of the Sun.Gradual HP restoration for self and vicinity.|The miracles of Gwynevere, the princesscherished by all, grant their blessing toa great many warriors.",0,36,2,2
Cast Light,Sorcery,Ancient sorcery of the lost land of Oolacile. Cast a bright light upon surroundings.|This light-producing sorcery is elementary but nonetheless demonstrates the achievements in mysticism of Oolacile. Such magic has not been developed even in Vinheim.,14,0,1,3
Chameleon,Sorcery,Ancient sorcery of the lost land of Oolacile. Transform into something inconspicuous.|A separate stealth spell from Hidden Body. A skilled stealth sorcerer must be aware of his or her surroundings and of which objects are prime candidates for imitation.,14,0,1,11
Chaos Fire Whip,Pyromancy,"Art of the Flame of Chaos, which engulfed the Witch of Izalith and her daughters. Sweep foes with chaos fire whip.|This spell was wielded by the eldest of The Daughters of Chaos.",0,0,2,80
Chaos Storm,Pyromancy,"Art of the Flame of Chaos, which engulfed the Witch of Izalith and her daughters. Erects localized chaos fire pillars.|The Witch of Izalith, in an ambitious attempt to copy the First Flame, created instead the Flame of Chaos, a twisted bed of life.",0,0,2,20
Combustion,Pyromancy,"Elementary pyromancy. Create powerful flame in hand.|One of the most basic pyromancies. For this very reason, the flame thus created is fierce.",0,0,1,16
Crystal Magic Weapon,Sorcery,"Sorcery boosted by the knowledge Logan acquired at the Regal Archives. High magic + crystallization: right weapon.|Logan's trials were successful, and the crystal medium facilitated a stronger bond between weapon and soul.",25,0,1,3
Crystal Soul Spear (Dark Souls),Sorcery,"Sorcery boosted by the knowledge Logan acquired at the Regal Archives. Fire piercing crystal soul spear.|These pale magic spears, sharpened through crystallization. are on par with the armaments of the ancient lords.",44,0,1,4
Dark Bead,Sorcery,"Abyss sorcery discovered by an Oolacile sorcerer on the brink of madness. Fire successive Dark Orbs.|In contrast to standard soul sorceries, Abyss sorceries are weighty and inflict physical damage. Perhaps a human soul is closer to matter in it's humanity.",16,0,1,6
Dark Fog (Dark Souls),Sorcery,"Abyss sorcery discovered by an Oolacile sorcerer on the brink of madness. Create a cloud of Dark Fog.|Although Dark Fog is, in theory, relatively close to humanity, it also happens to be a terrible poison for humans. Perhaps it reflects man's cruelty against his own.",18,0,1,2
Dark Orb (Dark Souls),Sorcery,"Abyss sorcery discovered by an Oolacile sorcerer on the brink of madness. Fire giant Dark Orb.|In contrast to standard soul sorceries, Abyss sorceries are weighty and inflict physical damage. Perhaps human souls, because of their humanity, produce sorceries with a more tangible presence.",16,0,1,12
Darkmoon Blade,Miracle,"Miracle granted to those bound by covenant to Gwyndolin, Lord Gwyn's lastborn. Boost right weapon with rays of Darkmoon.|The power of the rays of the Darkmoon are manifested in vengeance, and the deeper the animus, the more devastating the attack.",0,30,1,1
Emit Force,Miracle,"Outland miracle, foreign to the Way of White. Emit shockwave.|Considered an alternate branching of Force. Emits an expanding shockwave orb.",0,18,1,6
Escape Death,Miracle,"Lost miracle, foreign to the Way of White. While active, no losses incurred upon death.|The Way of White recognizes death itself, but admonishes the Undead. It is for this very reason that this miracle was lost.",0,0,1,1
Fall Control,Sorcery,"Sorcery developed by a certain surreptitious sorcerer at Vinheim Dragon School. Reduce damage and noise from fall.|This sorcery, along with Hush, explains the extravagant cost of hiring Vinheim spooks.",15,0,1,10
Fire Orb,Pyromancy,"Pyromancy which improves upon Fireball. Hurl fire orb.|The flaming fire orb explodes upon impact, causing fire splash damage in a spectacle which seems to symbolize the strength of the fire-manipulating pyromancers.",0,0,1,6
Fire Surge,Pyromancy,"Pyromancy foreign of the Great Swamp. Creates a surge of flame from palm to hand.|Not all pyromancy originates in the Great Swamp. One hear rumors of unknown pyromancers inhabiting various lands, and this spell is the work of one such outlander.",0,0,1,80
Fire Tempest,Pyromancy,Primal pyromancy of Quelana of Izalith. Erect giant fire pillars in vicinity.|The tempestuous raging flames resemble those summoned by the Daughters of Chaos when they challenged the ancient dragons and scorched the very earth.,0,0,1,20
Fire Whip,Pyromancy,"Primal pyromancy taught by Quelana of Izalith. Sweep foes with fire whip.|The root pyromancy of Combustion, but much more difficult to wield.",0,0,1,80
Fireball,Pyromancy,"Standard pyromancy of the Great Swamp. Hurl fireball.|The fire damage caused by fireballs makes them effective against corporeal beasts and Undead, who by nature fear flame.",0,0,1,8
Firestorm,Pyromancy,"Primal pyromancy taught by Quelana of Izalith. Erect fire pillars in vicinity.|The storm of flame is indiscriminate, and incinerates all nearby life.",0,0,1,20
