weapon,path,level,physical,magic,fire,lightning,strength,dexterity,intelligence,faith,physical_reduction,magic_reduction,fire_reduction,lightning_reduction
Battle Axe,Standard,0,95,0,0,0,C,D,0,0,55,10,40,40
Battle Axe,Standard,1,104,0,0,0,C,D,0,0,55,10,40,40
Battle Axe,Standard,2,113,0,0,0,C,D,0,0,55,10,40,40
Battle Axe,Standard,3,123,0,0,0,C,D,0,0,55,10,40,40
Battle Axe,Standard,4,133,0,0,0,C,D,0,0,55,10,40,40
Battle Axe,Standard,5,142,0,0,0,C,D,0,0,55,10,40,40
Battle Axe,Standard,6,152,0,0,0,C,D,0,0,55,10,40,40
Battle Axe,Standard,7,161,0,0,0,C,D,0,0,55,10,40,40
Battle Axe,Standard,8,171,0,0,0,C,D,0,0,55,10,40,40
Battle Axe,Standard,9,180,0,0,0,C,D,0,0,55,10,40,40
Battle Axe,Standard,10,190,0,0,0,C,D,0,0,55,10,40,40
Battle Axe,Standard,11,199,0,0,0,C,D,0,0,55,10,40,40
Battle Axe,Standard,12,209,0,0,0,C,D,0,0,55,10,40,40
Battle Axe,Standard,13,218,0,0,0,C,D,0,0,55,10,40,40
Battle Axe,Standard,14,228,0,0,0,C,D,0,0,55,10,40,40
Battle Axe,Standard,15,237,0,0,0,C,D,0,0,55,10,40,40
Battle Axe,Raw,0,163,0,0,0,D,D,0,0,55,10,40,40
Battle Axe,Raw,1,174,0,0,0,D,D,0,0,55,10,40,40
Battle Axe,Raw,2,185,0,0,0,D,D,0,0,55,10,40,40
Battle Axe,Raw,3,196,0,0,0,D,D,0,0,55,10,40,40
Battle Axe,Raw,4,207,0,0,0,D,D,0,0,55,10,40,40
Battle Axe,Raw,5,218,0,0,0,D,D,0,0,55,10,40,40
Battle Axe,Crystal,0,209,0,0,0,C,D,0,0,55,10,40,40
Battle Axe,Crystal,1,218,0,0,0,C,D,0,0,55,10,40,40
Battle Axe,Crystal,2,228,0,0,0,C,D,0,0,55,10,40,40
Battle Axe,Crystal,3,237,0,0,0,C,D,0,0,55,10,40,40
Battle Axe,Crystal,4,246,0,0,0,C,D,0,0,55,10,40,40
Battle Axe,Crystal,5,256,0,0,0,C,D,0,0,55,10,40,40
Battle Axe,Magic,0,106,115,0,0,E,E,C,0,55,10,40,40
Battle Axe,Magic,1,113,123,0,0,E,E,C,0,55,10,40,40
Battle Axe,Magic,2,120,130,0,0,E,E,C,0,55,10,40,40
Battle Axe,Magic,3,127,138,0,0,E,E,C,0,55,10,40,40
Battle Axe,Magic,4,134,146,0,0,E,E,C,0,55,10,40,40
Battle Axe,Magic,5,142,154,0,0,E,E,C,0,55,10,40,40
Battle Axe,Magic,6,149,161,0,0,E,E,C,0,55,10,40,40
Battle Axe,Magic,7,156,169,0,0,E,E,C,0,55,10,40,40
Battle Axe,Magic,8,163,177,0,0,E,E,C,0,55,10,40,40
Battle Axe,Magic,9,170,184,0,0,E,E,C,0,55,10,40,40
Battle Axe,Magic,10,177,192,0,0,E,E,C,0,55,10,40,40
Battle Axe,Enchanted,0,142,152,0,0,E,E,C,0,55,10,40,40
Battle Axe,Enchanted,1,147,156,0,0,E,E,C,0,55,10,40,40
Battle Axe,Enchanted,2,153,161,0,0,E,E,B,0,55,10,40,40
Battle Axe,Enchanted,3,159,165,0,0,E,E,B,0,55,10,40,40
Battle Axe,Enchanted,4,164,170,0,0,E,E,A,0,55,10,40,40
Battle Axe,Enchanted,5,170,176,0,0,E,E,A,0,55,10,40,40
Battle Axe,Divine,0,96,117,0,0,D,E,0,C,55,10,40,40
Battle Axe,Divine,1,102,124,0,0,D,E,0,C,55,10,40,40
Battle Axe,Divine,2,108,132,0,0,D,E,0,C,55,10,40,40
Battle Axe,Divine,3,115,140,0,0,D,E,0,C,55,10,40,40
Battle Axe,Divine,4,121,148,0,0,D,E,0,C,55,10,40,40
Battle Axe,Divine,5,128,156,0,0,D,E,0,C,55,10,40,40
Battle Axe,Divine,6,134,163,0,0,D,E,0,C,55,10,40,40
Battle Axe,Divine,7,140,171,0,0,D,E,0,C,55,10,40,40
Battle Axe,Divine,8,147,179,0,0,D,E,0,C,55,10,40,40
Battle Axe,Divine,9,153,187,0,0,D,E,0,C,55,10,40,40
Battle Axe,Divine,10,160,195,0,0,D,E,0,C,55,10,40,40
Battle Axe,Occult,0,130,142,0,0,D,E,0,B,55,10,40,40
Battle Axe,Occult,1,137,149,0,0,D,E,0,B,55,10,40,40
Battle Axe,Occult,2,145,156,0,0,D,E,0,B,55,10,40,40
Battle Axe,Occult,3,153,163,0,0,D,E,0,B,55,10,40,40
Battle Axe,Occult,4,161,170,0,0,D,E,0,B,55,10,40,40
Battle Axe,Occult,5,169,177,0,0,D,E,0,B,55,10,40,40
Battle Axe,Fire,0,123,0,123,0,0,0,0,0,55,10,40.0,40
Battle Axe,Fire,1,133,0,133,0,0,0,0,0,55,10,40.4,40
Battle Axe,Fire,2,142,0,142,0,0,0,0,0,55,10,40.8,40
Battle Axe,Fire,3,152,0,152,0,0,0,0,0,55,10,41.2,40
Battle Axe,Fire,4,161,0,161,0,0,0,0,0,55,10,41.6,40
Battle Axe,Fire,5,171,0,171,0,0,0,0,0,55,10,42.0,40
Battle Axe,Fire,6,182,0,182,0,0,0,0,0,55,10,42.4,40
Battle Axe,Fire,7,193,0,193,0,0,0,0,0,55,10,42.8,40
Battle Axe,Fire,8,205,0,205,0,0,0,0,0,55,10,43.2,40
Battle Axe,Fire,9,216,0,216,0,0,0,0,0,55,10,43.6,40
Battle Axe,Fire,10,228,0,228,0,0,0,0,0,55,10,44.0,40
Battle Axe,Chaos,0,149,0,171,0,0,0,0,0,55,10,40.0,40
Battle Axe,Chaos,1,157,0,180,0,0,0,0,0,55,10,40.8,40
Battle Axe,Chaos,2,166,0,190,0,0,0,0,0,55,10,41.6,40
Battle Axe,Chaos,3,174,0,199,0,0,0,0,0,55,10,42.4,40
Battle Axe,Chaos,4,182,0,209,0,0,0,0,0,55,10,43.2,40
Battle Axe,Chaos,5,190,0,218,0,0,0,0,0,55,10,44.0,40
Battle Axe,Lightning,0,171,0,0,171,0,0,0,0,55,10,40,40.0
Battle Axe,Lightning,1,184,0,0,184,0,0,0,0,55,10,40,43.2
