name,url,description
Balder Shield,https://darksouls.fandom.com/wiki/Balder_Shield,"Shield of the knights of the ancient kingdom of Balder. Tweaked for improved stability.|Balder was the home of the Knight King Rendal, but the kingdom was reduced to ruins after a widespread outbreak of Undead."
Black Iron Greatshield,https://darksouls.fandom.com/wiki/Black_Iron_Greatshield,Greatshield of the mighty knight Tarkus.|Built of special black iron and even heavier than Knight Berenike's tower shield. Especially resistant to fire attacks and effective for shield bashing.
Black Knight Shield,https://darksouls.fandom.com/wiki/Black_Knight_Shield,"Shield of the Black Knights that wander Lordran. A flowing canal is chiseled deeply into its face.|Long ago, the black knights faced the chaos demons, and were charred black, but their shields became highly resistant to fire."
Bloodshield,https://darksouls.fandom.com/wiki/Bloodshield,"The Bloodshield spoken of in the lost legends. The red of blood is slightly enchanted, and boosts various resistances."
Bonewheel Shield,https://darksouls.fandom.com/wiki/Bonewheel_Shield,"Giant wooden wheel encircled by spikes. Half-melded to a strange skeleton.|Can be used as a greatshield, only for the great gaps. But at least the spikes turn into weapons with a good spin. Strange indeed!"
Buckler,https://darksouls.fandom.com/wiki/Buckler,"Very small round metal shield. Parry attacks with large center protrusion.|Small shields are always less stable, but landing critical hits after parry is easier. This shield is specialized for parrying."
Caduceus Kite Shield,https://darksouls.fandom.com/wiki/Caduceus_Kite_Shield,"Medium metal shield. Decorated by an ancient blue Caduceus. A standard, widely-used shield."
Caduceus Round Shield,https://darksouls.fandom.com/wiki/Caduceus_Round_Shield,"Round wooden shield crafted in Lordran. Decorated by an ancient blue Caduceus.|The giant trees in Lordran are distant offspring of the great stone archtrees. This shield inherits their properites, and the wood greatly reduces magic damage."
Cleansing Greatshield,https://darksouls.fandom.com/wiki/Cleansing_Greatshield,"The steel greatshield used by Knight Artorias, who succumbed to the Abyss. Artorias, deeply scarred by the Abyss, used this to form a barrier to protect his compatriot Sif. Although this drained the shield, its magic defense remains high."
Cracked Round Shield,https://darksouls.fandom.com/wiki/Cracked_Round_Shield,"Round wooden shield. Cracked and nearly broken.|Wood shields are lighter than metal shields, but this one has lower physical damage reduction stability, partly due to cracking."
Crest Shield,https://darksouls.fandom.com/wiki/Crest_Shield,"Shield of a nameless knight, likely a high-ranked knight of Astora.|One of the enchanted blue shields. The Crest Shield greatly reduces magic damage."
Crystal Ring Shield,https://darksouls.fandom.com/wiki/Crystal_Ring_Shield,"Weapon born from the mystical creature of the Darkroot Garden, the Moonlight Butterfly.|Imbued with a powerful crystal power, like the butterfly created by Seath the Scaleless. Can emit crystal light rings."
Crystal Shield,https://darksouls.fandom.com/wiki/Crystal_Shield,"A fully crystallized straight shield. How such a weapon was created is entirely unknown.|The crystallization boosts its defense, but makes the shield brittle. The shield cannot be used for long, as it cannot be repaired."
Dragon Crest Shield,https://darksouls.fandom.com/wiki/Dragon_Crest_Shield,"Shield of a nameless knight, likely a high-ranked knight of Astora.|One of the enchanted blue shields. The dragon crest shield greatly reduces fire damage."
Eagle Shield,https://darksouls.fandom.com/wiki/Eagle_Shield,"Greatshield with an eagle design. Lightest and easiest greatshield to handle.|Greatshields are very stable, and deflect attacks. But one cannot parry, and instead bashes with the shield."
East-West Shield,https://darksouls.fandom.com/wiki/East-West_Shield,"A wooden kite shaped shield. It is decorated with the ancient symbol of a double-headed eagle, painted yellow.|Wooden shields are lighter than metal shields, but with lower physical damage reduction, and reduced shield stability."
Effigy Shield,https://darksouls.fandom.com/wiki/Effigy_Shield,"Frightful occult shield. Defends against divine weapons and lightning.|In an ill-fated plot to destroy the very gods, the followers of the occult once attempted to steal the power of Gravelord Nito, the first of the dead."
Gargoyle's Shield,https://darksouls.fandom.com/wiki/Gargoyle%27s_Shield,"Bronze shield of the gargoyle guarding the Bell of Awakening in the Undead Church.|The gargoyle's skin is tough by itself, and perhaps its shield may have been a prop, for it is a rare example of a metal shield that does not reduce physical damage 100%."
Giant Shield,https://darksouls.fandom.com/wiki/Giant_Shield,"Greatshield made of bronze and marcasite. Used by the giant sentinels of Anor Londo.|Marcasite, or white iron, is effective against non-physical damage, but as the shield is designed for the giant sentineles, its weight is unbearable."
Grass Crest Shield,https://darksouls.fandom.com/wiki/Grass_Crest_Shield,"Old medium metal shield of unknown origin. The grass crest is lightly imbued with magic, which slightly speeds stamina recovery."
Greatshield of Artorias,https://darksouls.fandom.com/wiki/Greatshield_of_Artorias,"Shield born from the soul of the great grey wolf Sif, guardian of the grave of the Abysswalker Knight Artorias.|Boasts consistent defense and divine protection against various status effects."
Havel's Greatshield,https://darksouls.fandom.com/wiki/Havel%27s_Greatshield,"Greatshield of the legendary Havel the Rock. Cut straight from a great slab of stone.|This greatshield is imbued with the magic of Havel, proves a strong defense, and is incredibly heavy. A true divine heirloom on par with the Dragon tooth."
Heater Shield,https://darksouls.fandom.com/wiki/Heater_Shield,"Small metal shield. A standard, widely-used shield.|This shield is easy to use, and is one of the smallest shields that offers 100% physical damage reduction."
Hollow Soldier Shield,https://darksouls.fandom.com/wiki/Hollow_Soldier_Shield,"Metal shield wielded by Hollow soldiers. Heavily rusted but sturdy, providing a strong defense."
Iron Round Shield,https://darksouls.fandom.com/wiki/Iron_Round_Shield,"Thick iron shield of Shiva of the East. Heaviest of the standard shields. Deflects enemy attacks.|A famous specimen from Shiva's collection, but none who have faced it have lived to tell the tale."
Knight Shield,https://darksouls.fandom.com/wiki/Knight_Shield,"This medium metal shield is elegantly carved and painted.|Although it is thought to have been used by ancient knights of nobility, its defense and capabilities are similar to other shields."
Large Leather Shield,https://darksouls.fandom.com/wiki/Large_Leather_Shield,"Large, leather-covered round shield. Choice shield for hunters.|Wood shields are lighter than metal shields, but with lower physical damage reductions, and reduced shield stability."
Leather Shield,https://darksouls.fandom.com/wiki/Leather_Shield,"Round leather-covered shield. A standard, widely-used shield.|Small shields are always less stable, but landing critical hits after parry is easier."
Pierce Shield,https://darksouls.fandom.com/wiki/Pierce_Shield,"Shield of certain knights of Catarina, used in attacks with a large protrusion in the center.|Can be used as a thrust weapon."
Plank Shield,https://darksouls.fandom.com/wiki/Plank_Shield,"Makeshift shield built from wood planks. Provides minimal protection, but at a cost of moderate humiliation."
Red & White Round Shield,https://darksouls.fandom.com/wiki/Red_%26_White_Round_Shield,"Round wooden shield crafted in Lordran featuring an impressive red and white design.|The giant trees in Lordran are distant offspring of the great stone archtrees. This shield inherits their properties, and the wood greatly reduces magic damage."
Sanctus,https://darksouls.fandom.com/wiki/Sanctus,"A legendary weapon of the Way of White, granted to an Undead paladin long ago. Once blessed with the protection of a white flame, but its power has all but faded, so that it provides only slight HP recovery."
Silver Knight Shield,https://darksouls.fandom.com/wiki/Silver_Knight_Shield,"Shield of the Silver Knights of Anor Londo. A flowing canal is carved deep into its face.|The Silver Knights stayed behind in Anor Londo to defend the illusory goddess, and their shields are blessed with her divine protection."
Small Leather Shield,https://darksouls.fandom.com/wiki/Small_Leather_Shield,"Small, leather-covered round shield, reinforced in critical spots with metal.|Small shields are always less stable, but landing critical hits after parry is easier."
Spider Shield,https://darksouls.fandom.com/wiki/Spider_Shield,Shield of the savage mountain bandits. Uniquely-shaped with a large black spider etched upon it.|Has resistance to poison.
Spiked Shield,https://darksouls.fandom.com/wiki/Spiked_Shield,"Shield of the infamous Darkwraith Kirk, Knight of Thorns. Covered with spikes.|Can be used as a weapon. Sharp spikes cause heavy bleeding."
Stone Greatshield,https://darksouls.fandom.com/wiki/Stone_Greatshield,"Mossy round greatshield used by the guardian of the Darkroot garden, the Stone Knight.|The Stone Knight is a creation of ancient magic, and this shield is imbued with the same power, but is also extremely heavy."
Sunlight Shield,https://darksouls.fandom.com/wiki/Sunlight_Shield,"Shield of Solaire of Astora, Knight of Sunlight. Decorated with a holy symbol, but Solaire illustrated it himself, and it has no divine powers of its own.|As it turns out, Solaire's incredible prowess is a product of his own training, and nothing else."
Target Shield,https://darksouls.fandom.com/wiki/Target_Shield,"Small round metal shield. Four protrusions used to parry attacks.|Small shields are always less stable, but landing critical hits after parry is easier. This shield is specialized for parrying."
Tower Kite Shield,https://darksouls.fandom.com/wiki/Tower_Kite_Shield,"Medium metal shield. Decorated with a tower, the symbol of protection. A standard, widely-used shield."
Tower Shield,https://darksouls.fandom.com/wiki/Tower_Shield,"Metal Greatshield. Used by the Knight Berenike, known for his heavy armor.|This thick plate of iron is heavily defensive but ultra heavy. Greatshields are very stable, and deflect attacks. However, one cannot parry, and instead bashes with the shield."
Warrior's Round Shield,https://darksouls.fandom.com/wiki/Warrior%27s_Round_Shield,"Round wooden shield crafted in Lordran. Decorated with the ancient Labrys axe.|The giant trees in Lordran are distant offspring of the great stone archtrees. This shield inherits their properties, and the wood reduces magic damage."
Wooden Shield,https://darksouls.fandom.com/wiki/Wooden_Shield,"Vertically elongated wooden shield. Decorated with a white dragon.|Wood shields are lighter then metal shields, but with lower physical damage reduction, and reduced shield stability."
