name,url,description
Acid Surge,https://darksouls.fandom.com/wiki/Acid_Surge,"Pyromancy foreign to the Great Swamp. Emit acid which corrodes weapons and armor.|Not all pyromancy originates in the Great Swamp. One hears rumors of unknown pyromancers inhabiting various lands, and this spell is the work of one such outlander."
Aural Decoy,https://darksouls.fandom.com/wiki/Aural_Decoy,"Sorcery used by playful sorcerers. Lure enemies away by creating a sound originating in the distance.|This spell is not the first choice for serious sorcerers, but it has a surprising amount of applications, some of them extremely effective."
Black Flame,https://darksouls.fandom.com/wiki/Black_Flame_(Dark_Souls),"A pyromancy discovered from the Dark of the Abyss by a pyromancer who wandered Oolacile. Conjure a great black flame in one's palm.|Black flames are weighty, and inflict physical damage, enough to smack away the mightiest of the shields."
Bountiful Sunlight,https://darksouls.fandom.com/wiki/Bountiful_Sunlight,"Special miracle granted to the maidensof Gwynevere, Princess of the Sun.Gradual HP restoration for self and vicinity.|The miracles of Gwynevere, the princesscherished by all, grant their blessing toa great many warriors."
Cast Light,https://darksouls.fandom.com/wiki/Cast_Light,Ancient sorcery of the lost land of Oolacile. Cast a bright light upon surroundings.|This light-producing sorcery is elementary but nonetheless demonstrates the achievements in mysticism of Oolacile. Such magic has not been developed even in Vinheim.
Chameleon,https://darksouls.fandom.com/wiki/Chameleon,Ancient sorcery of the lost land of Oolacile. Transform into something inconspicuous.|A separate stealth spell from Hidden Body. A skilled stealth sorcerer must be aware of his or her surroundings and of which objects are prime candidates for imitation.
Chaos Fire Whip,https://darksouls.fandom.com/wiki/Chaos_Fire_Whip,"Art of the Flame of Chaos, which engulfed the Witch of Izalith and her daughters. Sweep foes with chaos fire whip.|This spell was wielded by the eldest of The Daughters of Chaos."
Chaos Storm,https://darksouls.fandom.com/wiki/Chaos_Storm,"Art of the Flame of Chaos, which engulfed the Witch of Izalith and her daughters. Erects localized chaos fire pillars.|The Witch of Izalith, in an ambitious attempt to copy the First Flame, created instead the Flame of Chaos, a twisted bed of life."
Combustion,https://darksouls.fandom.com/wiki/Combustion,"Elementary pyromancy. Create powerful flame in hand.|One of the most basic pyromancies. For this very reason, the flame thus created is fierce."
Crystal Magic Weapon,https://darksouls.fandom.com/wiki/Crystal_Magic_Weapon,"Sorcery boosted by the knowledge Logan acquired at the Regal Archives. High magic + crystallization: right weapon.|Logan's trials were successful, and the crystal medium facilitated a stronger bond between weapon and soul."
Crystal Soul Spear,https://darksouls.fandom.com/wiki/Crystal_Soul_Spear_(Dark_Souls),"Sorcery boosted by the knowledge Logan acquired at the Regal Archives. Fire piercing crystal soul spear.|These pale magic spears, sharpened through crystallization. are on par with the armaments of the ancient lords."
Dark Bead,https://darksouls.fandom.com/wiki/Dark_Bead,"Abyss sorcery discovered by an Oolacile sorcerer on the brink of madness. Fire successive Dark Orbs.|In contrast to standard soul sorceries, Abyss sorceries are weighty and inflict physical damage. Perhaps a human soul is closer to matter in it's humanity."
Dark Fog,https://darksouls.fandom.com/wiki/Dark_Fog_(Dark_Souls),"Abyss sorcery discovered by an Oolacile sorcerer on the brink of madness. Create a cloud of Dark Fog.|Although Dark Fog is, in theory, relatively close to humanity, it also happens to be a terrible poison for humans. Perhaps it reflects man's cruelty against his own."
Dark Orb,https://darksouls.fandom.com/wiki/Dark_Orb_(Dark_Souls),"Abyss sorcery discovered by an Oolacile sorcerer on the brink of madness. Fire giant Dark Orb.|In contrast to standard soul sorceries, Abyss sorceries are weighty and inflict physical damage. Perhaps human souls, because of their humanity, produce sorceries with a more tangible presence."
Darkmoon Blade,https://darksouls.fandom.com/wiki/Darkmoon_Blade,"Miracle granted to those bound by covenant to Gwyndolin, Lord Gwyn's lastborn. Boost right weapon with rays of Darkmoon.|The power of the rays of the Darkmoon are manifested in vengeance, and the deeper the animus, the more devastating the attack."
Emit Force,https://darksouls.fandom.com/wiki/Emit_Force,"Outland miracle, foreign to the Way of White. Emit shockwave.|Considered an alternate branching of Force. Emits an expanding shockwave orb."
Fall Control,https://darksouls.fandom.com/wiki/Fall_Control,"Sorcery developed by a certain surreptitious sorcerer at Vinheim Dragon School. Reduce damage and noise from fall.|This sorcery, along with Hush, explains the extravagant cost of hiring Vinheim spooks."
Fire Orb,https://darksouls.fandom.com/wiki/Fire_Orb,"Pyromancy which improves upon Fireball. Hurl fire orb.|The flaming fire orb explodes upon impact, causing fire splash damage in a spectacle which seems to symbolize the strength of the fire-manipulating pyromancers."
Fire Surge,https://darksouls.fandom.com/wiki/Fire_Surge,"Pyromancy foreign of the Great Swamp. Creates a surge of flame from palm to hand.|Not all pyromancy originates in the Great Swamp. One hear rumors of unknown pyromancers inhabiting various lands, and this spell is the work of one such outlander."
