name,url,description
Blue Titanite Chunk,https://darksouls.fandom.com/wiki/Blue_Titanite_Chunk,"Titanite chunk for weapon reinforcement. Blue titanite has powerful magic energy. Reinforces magic weapons to +9, and enchanted weapons to +4.|With the discovery of chunks in Lordran, the race to locate the Legendary Slabs has begun. But could they be mere myth?"
Blue Titanite Slab,https://darksouls.fandom.com/wiki/Blue_Titanite_Slab,"Blue titanite slab for weapon reinforcement. Legendary Slabs were the domain of the Gods. Reinforces magic weapons to +10, and enchanted weapons to +5.|Legendary Slabs are the heirlooms of a nameless blacksmith deity, who forged the weapons of other Gods. Weapons forged with this slab become rare legendary weapons."
Demon Titanite,https://darksouls.fandom.com/wiki/Demon_Titanite,"Special titanite stolen from a faceless stone beast known as a Titanite Demon.|When the nameless blacksmith deity passed, from several Slabs, great beasts arose. The power of titanite remains within them, and they still roam Lordran today."
Dragon Scale,https://darksouls.fandom.com/wiki/Dragon_Scale,"Dragon scale for reinforcing dragon weapons. Peeled from an ancient dragon.|A dragon is inseparable from its scales, and the transcendent apostles, who seek the perpetuity of the ancient dragons, have crossed the very end of the earth to seek this invaluable treasure."
Green Titanite Shard,https://darksouls.fandom.com/wiki/Green_Titanite_Shard,"Titanite shard for weapon reinforcement. Green titanite imbued with a special power. Reinforces magic, divine, fire weapons to +5.|Titanite shards are fragments of the Legendary Slabs. Titanite is etched into weapons to reinforce."
Large Titanite Shard,https://darksouls.fandom.com/wiki/Large_Titanite_Shard,"Titanite shard for weapon reinforcement. Larger titanite material. Reinforces standard weapons to +10, and raw weapons to +5.|Titanite shards are fragments of the Legendary Slabs. Titanite is etched into weapons to reinforce."
Red Titanite Chunk,https://darksouls.fandom.com/wiki/Red_Titanite_Chunk,"Titanite chunk for weapon reinforcement. Red titanite has powerful fire energy. Reinforces fire weapons to +9, and chaos weapons to +4.|With the discovery of chunks in Lordran, the race to locate the Legendary Slabs has begun. But could they be mere myth?"
Red Titanite Slab,https://darksouls.fandom.com/wiki/Red_Titanite_Slab,"Red titanite slab for weapon reinforcement. Legendary Slabs were the domain of the Gods. Reinforces fire weapons to +10, and chaos weapons to +5.|Legendary Slabs are the heirlooms of a nameless blacksmith deity, who forged the weapons of other Gods. Weapons forged with this slab become rare legendary weapons."
Titanite Chunk,https://darksouls.fandom.com/wiki/Titanite_Chunk,"Titanite chunk for weapon reinforcement. Not found outside of Lordran. Reinforces standard weapons to +14, and crystal, lightning weapons to +4.|With the discovery of chunks in Lordran, the race to locate the  Legendary Slabs has begun. But could they be mere myth?"
Titanite Shard,https://darksouls.fandom.com/wiki/Titanite_Shard,Titanite shard for weapon reinforcement. Most common titanite material. Reinforces standard weapons to +5.|Titanite shards are fragments of the Legendary Slabs. Titanite is etched into weapons to reinforce.
Titanite Slab,https://darksouls.fandom.com/wiki/Titanite_Slab,"Titanite slab for weapon reinforcement. Legendary Slabs were the domain of the Gods. Reinforces standard weapons to +15, and crystal or lightning weapons to +5.|Legendary Slabs are the heirlooms of a nameless blacksmith deity, who forged the weapons of other Gods. Weapons forged with this slab become rare legendary weapons."
Twinkling Titanite,https://darksouls.fandom.com/wiki/Twinkling_Titanite,"This weapon-reinforcing titanite is imbued with a particularly powerful energy. Reinforces weapons that cannot be reinforced normally to +5.|After this titanite was peeled from its Slab, it is said that it received a special power, but its specific nature is not clear."
White Titanite Chunk,https://darksouls.fandom.com/wiki/White_Titanite_Chunk,"Titanite chunk for weapon reinforcement. White titanite has powerful magic energy. Reinforces divine weapons to +9, and occult weapons to +4.|With the discovery of chunks in Lordran, the race to locate the Legendary Slabs has begun. But could they be mere myth?"
White Titanite Slab,https://darksouls.fandom.com/wiki/White_Titanite_Slab,"White titanite slab for weapon reinforcement. Legendary Slabs were the domain of the Gods. Reinforces divine weapons to +10, and occult weapons to +5.|Legendary Slabs are the heirlooms of a nameless blacksmith deity, who forged the weapons of other Gods. Weapons forged with this slab become rare legendary weapons."
